|"ID"|"指定子"|"フットプリント"|"数量"|"名称"|"供給業者、参考資料"|
|1|"REF**"|"JLCJLCJLCJLC"|1|"JLCJLCJLCJLC"|||
|2|"CH1"|"ProMicro_LIKE_LEFT"|1|"ProMicro-LeftPin"|||
|3|"mouse-bite-3mm-slot,mouse-bite-3mm-slot"|"mouse-bite-2.54mm-slot"|2|"VAL**"|||
|4|"REF**,REF**,REF**,REF**"|"StencilHole2mm"|4|"StencilHole2mm"|||
|5|"J1"|"BoxPinHeader_2x03_P1.27mm_Vertical"|1|"ESPProg-UART"|||
|6|"CH2"|"ProMicro_LIKE_RIGHT"|1|"ProMicro-RightPin"|||
|7|"U1"|"ESP32-C3-MINI-1"|1|"ESP32-C3-MINI-1"|||
|8|"SW1"|"SKRPABE010"|1|"RESET"|||
|9|"D1"|"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"|1|"PWR"|||
|10|"SW2"|"SKRPABE010"|1|"BOOT"|||
|11|"J2"|"USB-C-12-Pin-SMD"|1|"USB2.0_C"|||
|12|"R3,R4"|"Register_0805_2012"|2|"0"|||
|13|"R1,R2"|"Register_0805_2012"|2|"10k"|||
|14|"C4,C3,C2"|"Capacitor_0805_2012"|3|"100n"|||
|15|"R7,R6"|"Register_0805_2012"|2|"5.1k"|||
|16|"C5,C1"|"Capacitor_0805_2012"|2|"10u"|||
|17|"R5"|"Register_0805_2012"|1|"1k"|||
|18|"U2"|"Regulator_AMS1117_SOT-89"|1|"AMS1117-3.3"|||
|19|"REF**"|"twitter"|1|"twitter"|||
